page	name	CR	Type
FM-028	Angulotl Blade	0.25	Angulotls
FM-029	Angulotl Needler	4	Angulotls
FM-030	Angulotl Seer	6	Angulotls
FM-031	Angulotl Slink	2	Angulotls
FM-032	Clawfish	0.125	Angulotls
FM-035	Bear	2	Animals
FM-036	Little Bear	1	Animals
FM-037	Bird of Prey	0.5	Animals
FM-037	Dire Bird of Prey	3	Animals
FM-039	Camel	0.5	Animals
FM-039	Deathhawk	4	Animals
FM-040	Ancient Lightning Eel	12	Animals
FM-040	Lightning Eel	2	Animals
FM-041	Snowfox	0.25	Animals
FM-041	Swarm of Insects	0.5	Animals
FM-042	Swarm of Spiders	0.5	Animals
FM-043	Little Wildcat	0.5	Animals
FM-043	Wildcat	1	Animals
FM-048	Basilisk	3	Basilisks
FM-051	Bugbear Channeler	7	Bugbears
FM-051	Bugbear Commander	5	Bugbears
FM-052	Bugbear Predator	3	Bugbears
FM-053	Bugbear Roughneck	1	Bugbears
FM-054	Chimera	6	Chimeras
FM-058	Chimeron	12	Demons
FM-059	Ruinant	6	Demons
FM-060	Tormenauk	8	Demons
FM-061	Wobalas	10	Demons
FM-062	Aurumvas	14	Demons
FM-066	Devil Adjudicator	14	Devils
FM-067	Devil Jurist	10	Devils
FM-068	Devil Legate	8	Devils
FM-069	Devil Magistrate	12	Devils
FM-071	Infernal Chancellor Lazivos	16	Devils
FM-073	Dragonet	0.25	Dragonets
FM-089	Crux of Fire	5	Elementals
FM-090	Crux of Frost	8	Elementals
FM-091	Essence of Mist	13	Elementals
FM-092	Essence of Storms	5	Elementals
FM-093	Essence of Tides	5	Elementals
FM-094	Force of Blood	19	Elementals
FM-095	Force of Earth	5	Elementals
FM-096	Force of Iron	10	Elementals
FM-097	Oracle of Storms	16	Elementals
FM-098	Principle of Growth	15	Elementals
FM-099	Sunlight Nexus	12	Elementals
FM-101	At?shia	23	Elementals
FM-106	Fire Giant Red Fist	9	Giants
FM-107	Zenith Aastrika	12	Giants
FM-108	Frost Giant Storm Hurler	8	Giants
FM-109	Fire Giant Lightbearer	10	Giants
FM-109	Frost Giant Wind Sprinter	8	Giants
FM-109	Hill Giant Clobberer	5	Giants
FM-111	Basalt Stone Giant	8	Giants
FM-111	Granite Stone Giant	7	Giants
FM-112	Marble Stone Giant	6	Giants
FM-114	Gibbering Mouther	2	Gibbering Mouthers
FM-116	Gnoll Abyssal Archer	0.5	Gnolls
FM-117	Gnoll Abyssal Summoner	6	Gnolls
FM-118	Gnoll Bonesplitter	4	Gnolls
FM-119	Gnoll Cackler	2	Gnolls
FM-120	Gnoll Marauder	0.5	Gnolls
FM-122	Tusker Demon	7	Gnolls
FM-126	Goblin Assassin	0.5	Goblins
FM-126	Goblin Cursespitter	1	Goblins
FM-127	Goblin Sniper	0.5	Goblins
FM-128	Goblin Spinecleaver	1	Goblins
FM-128	Goblin Underboss	2	Goblins
FM-129	Goblin Warrior	0.25	Goblins
FM-129	Skitterling	0.125	Goblins
FM-129	Swarm of Skitterlings	2	Goblins
FM-130	War Spider	3	Goblins
FM-131	Queen Bargnot	3	Goblins
FM-135	Griffon	2	Griffons
FM-137	Green Hag	3	Hags
FM-138	Night Hag	5	Hags
FM-139	Sea Hag	2	Hags
FM-142	Harpy	1	Harpies
FM-144	Hellhound	3	Hellhounds
